"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2457","test_login_1_13800001111","scripts","Sat Mar 28 17:22:15 CST 2026","passed","Sat Mar 28 17:22:17 CST 2026","TestLogin","test_login","",""
"","4018","test_submit_order","scripts","Sat Mar 28 17:23:24 CST 2026","passed","Sat Mar 28 17:23:28 CST 2026","TestOrder","test_order","",""
"","2944","test_register_1_13800001111","scripts","Sat Mar 28 17:23:46 CST 2026","passed","Sat Mar 28 17:23:49 CST 2026","TestRegister","test_register","",""
"","1056","test_detail_add_num","scripts","Sat Mar 28 17:21:51 CST 2026","passed","Sat Mar 28 17:21:52 CST 2026","TestDetail","test_detail","",""
"","45","test_detail_mins_num","scripts","Sat Mar 28 17:21:57 CST 2026","broken","Sat Mar 28 17:21:57 CST 2026","TestDetail","test_detail","",""
"","30058","test_all_delete","scripts","Sat Mar 28 17:20:20 CST 2026","broken","Sat Mar 28 17:20:50 CST 2026","TestCart","test_cart","",""
"","30156","test_cart_add_num","scripts","Sat Mar 28 17:20:52 CST 2026","broken","Sat Mar 28 17:21:22 CST 2026","TestCart","test_cart","",""
"","2943","test_register_0_138","scripts","Sat Mar 28 17:23:43 CST 2026","passed","Sat Mar 28 17:23:46 CST 2026","TestRegister","test_register","",""
"","4561","test_detail_addcart_ok","scripts","Sat Mar 28 17:21:52 CST 2026","passed","Sat Mar 28 17:21:57 CST 2026","TestDetail","test_detail","",""
"","2828","test_login_0_13822223333","scripts","Sat Mar 28 17:22:12 CST 2026","passed","Sat Mar 28 17:22:15 CST 2026","TestLogin","test_login","",""
